ActiePeriode,PromotieNummer,ArtikelNummer,ArtikelDatum,PromotieOmschrijving,StartDatumPromotie,EindDatumPromotie,Status,VanPrijs,VoorPrijs
1115,128,219916,29/07/14,13 ROSÉ BL.ZWEIGELT 2018,2023-06-15,2023-06-21,40,12.58,11.59
1115,239,705292,20/09/13,ABERLOUR 12Y DOUBLE C.M,2023-06-15,2023-06-21,40,66.87,63.16
1112,84,705292,20/09/13,ABERLOUR 12Y DOUBLE C.M,2023-05-11,2023-05-17,40,66.87,61.76
1116,204,781460,14/06/00,ABSOLUT CITRON      70CL,2023-06-22,2023-07-05,40,23.58,20.41
1114,135,781460,14/06/00,ABSOLUT CITRON      70CL,2023-06-01,2023-06-14,40,23.58,19.52
1114,136,787191,21/03/17,ABSOLUT LIME 70CL,2023-06-01,2023-06-14,40,27.96,21.64
1116,206,787191,21/03/17,ABSOLUT LIME 70CL,2023-06-22,2023-07-05,40,27.96,24.15
1114,134,781444,03/06/05,ABSOLUT RASPBERRI   70CL,2023-06-01,2023-06-14,40,30.5,28.71
1116,203,781444,03/06/05,ABSOLUT RASPBERRI   70CL,2023-06-22,2023-07-05,40,30.5,22.19
1114,141,788996,15/08/07,ABSOLUT VANILIA 70CL,2023-06-01,2023-06-14,40,29.59,26.6
1116,209,788996,15/08/07,ABSOLUT VANILIA 70CL,2023-06-22,2023-07-05,40,29.59,24.95
1114,139,788805,25/02/94,ABSOLUT VODKA       70CL,2023-06-01,2023-06-14,40,28.43,27.23
1116,208,788805,25/02/94,ABSOLUT VODKA       70CL,2023-06-22,2023-07-05,40,28.43,27.35
1114,57,789445,04/04/14,ABSOLUT VODKA 35CL,2023-06-01,2023-06-14,40,10.6,7.76
1113,2,140449,26/05/99,ADAM PINOT BLANC RES'17,2023-05-18,2023-06-01,40,16.63,13.62
1113,3,259357,06/05/11,ADRIATICO VERDICCHIO '18,2023-05-18,2023-06-01,40,7.18,5.34
1114,77,975729,25/03/14,AFFLIGEM BLOND      30CL,2023-06-01,2023-06-14,40,2.17,1.76
1114,78,989045,01/03/07,AFFLIGEM DUBBEL 30CL,2023-06-01,2023-06-14,40,1.84,1.7
1114,79,975788,26/03/14,AFFLIGEM TRIPLE     30CL,2023-06-01,2023-06-14,40,2.69,2.35
1113,4,258636,15/05/15,AGLIANICO BIO 2015,2023-05-18,2023-06-01,40,16.21,14.3
1113,6,219193,20/08/13,AHR SPATBURG.TROCKEN '16,2023-05-18,2023-06-01,40,20.29,15.55
1113,8,387789,16/10/97,ALAMOS CABERNET SAUV.'18,2023-05-18,2023-06-01,40,13.97,12.51
1113,10,387320,06/01/97,ALAMOS CHARDONNAY'18,2023-05-18,2023-06-01,40,16.05,15.37
1115,307,387320,06/01/97,ALAMOS CHARDONNAY'18,2023-06-15,2023-06-21,40,16.05,15.21
1113,12,387312,06/01/97,ALAMOS MALBEC 2019,2023-05-18,2023-06-01,40,13.94,13.38
1115,306,387312,06/01/97,ALAMOS MALBEC 2019,2023-06-15,2023-06-21,40,13.94,10.75
1113,14,383139,28/04/14,ALAMOS MERLOT 2018,2023-05-18,2023-06-01,40,12.24,8.58
1112,246,383139,28/04/14,ALAMOS MERLOT 2018,2023-05-11,2023-05-17,40,12.24,11.65
1112,247,388661,26/09/03,ALAMOS VIOGNIER,2023-05-11,2023-05-17,40,13.47,10.6
1113,15,388661,26/09/03,ALAMOS VIOGNIER,2023-05-18,2023-06-01,40,13.47,9.82
1112,186,359688,05/07/11,ALTANO BRANCO 2017,2023-05-11,2023-05-17,40,9.35,8.84
1113,16,359688,05/07/11,ALTANO BRANCO 2017,2023-05-18,2023-06-01,40,9.35,9.05
1113,19,359297,10/06/09,ALTANO ORGANIC RED '18,2023-05-18,2023-06-01,40,14.61,10.46
1114,20,669008,29/03/94,AMARULA CREAM       35CL,2023-06-01,2023-06-14,40,18.07,13.45
1112,201,669431,17/09/93,AMARULA CREAM       70CL,2023-05-11,2023-05-17,40,21.84,16.83
1115,316,669431,17/09/93,AMARULA CREAM       70CL,2023-06-15,2023-06-21,40,21.84,15.68
1115,147,409219,03/02/15,AMOUR L'AMAURIGUE'18,2023-06-15,2023-06-21,40,13.68,9.97
1113,21,219940,29/04/15,ANDAU BLAUFRANKISCH'17,2023-05-18,2023-06-01,40,12.72,9.27
1113,22,219959,29/04/15,ANDAU SANKT LAURENT'16,2023-05-18,2023-06-01,40,11.84,10.26
1113,23,219207,29/12/14,ANDAU SAUV BL. 2017,2023-05-18,2023-06-01,40,11.29,11.04
1113,24,219266,18/02/14,ANDAU ZWEIGELT 2017,2023-05-18,2023-06-01,40,13.21,9.92
1113,25,257737,06/04/16,ANGORIS CAB/SAUV 2015,2023-05-18,2023-06-01,40,18.68,16.22
1113,26,258792,01/08/14,ANGORIS COLLIO BIANCO'16,2023-05-18,2023-06-01,40,18.75,15.02
1113,30,258822,29/07/14,ANGORIS FRIULANO 2016,2023-05-18,2023-06-01,40,16.77,14.26
1113,32,258830,29/07/14,ANGORIS PINOT GRIGIO '17,2023-05-18,2023-06-01,40,23.56,17.84
1113,33,257729,06/04/16,ANGORIS RIBOL.GIALA 2017,2023-05-18,2023-06-01,40,18.35,12.97
1113,34,258377,26/10/15,ANGORIS SAUV BLANC 2017,2023-05-18,2023-06-01,40,21.33,15.13
1113,35,258369,26/10/15,ANGORIS SCHIOPPETTINO 16,2023-05-18,2023-06-01,40,18.61,18.44
1116,212,799092,13/03/06,APEROL              70CL,2023-06-22,2023-07-05,40,16.43,16.13
1114,145,799092,13/03/06,APEROL              70CL,2023-06-01,2023-06-14,40,16.43,16.35
1112,211,708453,14/02/01,ARDBEG 10Y ISLAY WH.70CL,2023-05-11,2023-05-17,40,84.21,84.06
1115,354,388971,08/05/07,ARGENTO CHARDONNAY SEL,2023-06-15,2023-06-21,40,11.35,11.3
1114,192,388971,08/05/07,ARGENTO CHARDONNAY SEL,2023-06-01,2023-06-14,40,11.35,9.49
1116,310,388971,08/05/07,ARGENTO CHARDONNAY SEL,2023-06-22,2023-07-05,40,11.35,9.97
1113,37,379786,01/04/16,ARGENTO MALBEC RESERVE,2023-05-18,2023-06-01,40,15.46,12.84
1115,440,379786,01/04/16,ARGENTO MALBEC RESERVE,2023-06-15,2023-06-21,40,15.46,13.43
1116,309,388157,15/01/07,ARGENTO MALBEC SEL 2017,2023-06-22,2023-07-05,40,14.72,10.72
1115,355,388157,15/01/07,ARGENTO MALBEC SEL 2017,2023-06-15,2023-06-21,40,14.72,10.35
1114,191,388157,15/01/07,ARGENTO MALBEC SEL 2017,2023-06-01,2023-06-14,40,14.72,13.89
1113,39,129860,19/08/10,ARROG FROG VIOGNIER '18,2023-05-18,2023-06-01,40,10.56,7.92
1116,55,128937,12/09/12,ARROG.FR.CAB.CALADES'17,2023-06-22,2023-07-05,40,10.74,8.1
1114,375,128961,12/09/12,ARROG.FR.CHARD.L.CRES'18,2023-06-01,2023-06-14,40,13.42,11.11
1113,765,128961,12/09/12,ARROG.FR.CHARD.L.CRES'18,2023-05-18,2023-06-01,40,13.42,11.46
1116,306,128961,12/09/12,ARROG.FR.CHARD.L.CRES'18,2023-06-22,2023-07-05,40,13.42,12.18
1115,403,128961,12/09/12,ARROG.FR.CHARD.L.CRES'18,2023-06-15,2023-06-21,40,13.42,10.53
1116,57,129674,11/04/12,ARROG.FR.VIN.SEL S/BL,2023-06-22,2023-07-05,40,12.9,10.31
1115,152,409383,03/02/15,"ARROGANT F.ROSE 37,5'15",2023-06-15,2023-06-21,40,6.85,5.17
1113,40,129461,29/02/08,ARROGANT FR. RES GSM '17,2023-05-18,2023-06-01,40,17.26,12.82
1113,42,129739,27/12/10,ARROGANT FROG BIO RED'18,2023-05-18,2023-06-01,40,9.67,8.4
1113,44,196665,03/02/06,ARROGANT FROG C/S/M 2018,2023-05-18,2023-06-01,40,11.94,9.03
1114,261,196665,03/02/06,ARROGANT FROG C/S/M 2018,2023-06-01,2023-06-14,40,11.94,9.46
1114,262,196673,03/02/06,ARROGANT FROG CH.VIOG'18,2023-06-01,2023-06-14,40,9.4,8.96
